language,total,geo_code,geo_level,geo_version
Jirel,13,25002,local,2016
Kham,17,25002,local,2016
Limbu,136,25002,local,2016
Magar,689,25002,local,2016
Maithili,477,25002,local,2016
Nepali,38940,25002,local,2016
Newar,21568,25002,local,2016
Not Reported,19,25002,local,2016
Others,166,25002,local,2016
Pahari,1895,25002,local,2016
Rai,458,25002,local,2016
Sherpa,88,25002,local,2016
Sunuwar,57,25002,local,2016
Tamang,11991,25002,local,2016
Thami,32,25002,local,2016
Tharu,172,25002,local,2016
Urdu,27,25002,local,2016
Bhojpuri,12,25001,local,2016
Magar,119,25001,local,2016
Maithili,29,25001,local,2016
Nepali,5247,25001,local,2016
Others,34,25001,local,2016
Tamang,7608,25001,local,2016
Magar,147,25003,local,2016
Nepali,2087,25003,local,2016
Newar,22,25003,local,2016
Others,44,25003,local,2016
Pahari,123,25003,local,2016
Tamang,7286,25003,local,2016
Maithili,14,25006,local,2016
Nepali,5502,25006,local,2016
Newar,31,25006,local,2016
Others,21,25006,local,2016
Pahari,11,25006,local,2016
Sunuwar,36,25006,local,2016
Tamang,3838,25006,local,2016
Achhami,11,25004,local,2016
Avadhi,155,25004,local,2016
Bahing,48,25004,local,2016
Baitadeli,14,25004,local,2016
Bajjika,81,25004,local,2016
Bangla,323,25004,local,2016
Bantawa,403,25004,local,2016
Bhojpuri,4125,25004,local,2016
Bhujel,11,25004,local,2016
Chamling,355,25004,local,2016
Chepang,35,25004,local,2016
Chinese,18,25004,local,2016
Danuwar,89,25004,local,2016
Darai,14,25004,local,2016
Dhimal,29,25004,local,2016
Doteli,220,25004,local,2016
Dungmali,24,25004,local,2016
Dura,15,25004,local,2016
English,357,25004,local,2016
French,18,25004,local,2016
Ghale,62,25004,local,2016
Gurung,2502,25004,local,2016
Hindi,2218,25004,local,2016
Jirel,50,25004,local,2016
Khaling,35,25004,local,2016
Kham,115,25004,local,2016
Kulung,38,25004,local,2016
Kumal,14,25004,local,2016
Lapcha,20,25004,local,2016
Lhomi,34,25004,local,2016
Limbu,2181,25004,local,2016
Magar,4814,25004,local,2016
Maithili,9554,25004,local,2016
Majhi,149,25004,local,2016
Mizo,20,25004,local,2016
Nachhiring,34,25004,local,2016
Nepali,128066,25004,local,2016
Newar,100337,25004,local,2016
Not Reported,255,25004,local,2016
Oriya,38,25004,local,2016
Others,1030,25004,local,2016
Pahari,13,25004,local,2016
Puma,24,25004,local,2016
