geo_code,geo_level,literacy,sex,total,geo_version
24005,local,Literate,Female,10210,2016
24005,local,Literate,Male,12158,2016
24005,local,Not Read/Write,Female,5017,2016
24005,local,Not Read/Write,Male,1828,2016
24005,local,Not Stated,Female,17,2016
24005,local,Not Stated,Male,3,2016
24005,local,Read Only,Female,377,2016
24005,local,Read Only,Male,270,2016
24006,local,Literate,Female,3344,2016
24006,local,Literate,Male,4299,2016
24006,local,Not Read/Write,Female,2850,2016
24006,local,Not Read/Write,Male,1645,2016
24006,local,Not Stated,Female,1,2016
24006,local,Not Stated,Male,2,2016
24006,local,Read Only,Female,268,2016
24006,local,Read Only,Male,274,2016
24009,local,Literate,Female,8782,2016
24009,local,Literate,Male,9737,2016
24009,local,Not Read/Write,Female,5723,2016
24009,local,Not Read/Write,Male,2414,2016
24009,local,Not Stated,Female,19,2016
24009,local,Not Stated,Male,12,2016
24009,local,Read Only,Female,349,2016
24009,local,Read Only,Male,313,2016
24004,local,Literate,Female,5416,2016
24004,local,Literate,Male,5942,2016
24004,local,Not Read/Write,Female,4940,2016
24004,local,Not Read/Write,Male,2478,2016
24004,local,Not Stated,Female,11,2016
24004,local,Not Stated,Male,7,2016
24004,local,Read Only,Female,290,2016
24004,local,Read Only,Male,288,2016
24013,local,Literate,Female,6497,2016
24013,local,Literate,Male,7236,2016
24013,local,Not Read/Write,Female,4642,2016
24013,local,Not Read/Write,Male,2392,2016
24013,local,Not Stated,Female,5,2016
24013,local,Not Stated,Male,3,2016
24013,local,Read Only,Female,315,2016
24013,local,Read Only,Male,266,2016
24003,local,Literate,Female,4775,2016
24003,local,Literate,Male,5475,2016
24003,local,Not Read/Write,Female,4397,2016
24003,local,Not Read/Write,Male,2403,2016
24003,local,Not Stated,Female,16,2016
24003,local,Not Stated,Male,8,2016
24003,local,Read Only,Female,274,2016
24003,local,Read Only,Male,286,2016
35,district,Literate,Female,611210,2016
35,district,Literate,Male,755369,2016
35,district,Not Read/Write,Female,142185,2016
35,district,Not Read/Write,Male,54044,2016
35,district,Not Stated,Female,410,2016
35,district,Not Stated,Male,193,2016
35,district,Read Only,Female,13884,2016
35,district,Read Only,Male,10820,2016
27006,local,Literate,Female,362573,2016
27006,local,Literate,Male,447899,2016
27006,local,Not Read/Write,Female,65813,2016
27006,local,Not Read/Write,Male,26489,2016
27006,local,Not Stated,Female,167,2016
27006,local,Not Stated,Male,73,2016
27006,local,Read Only,Female,7080,2016
27006,local,Read Only,Male,5449,2016
27002,local,Literate,Female,28989,2016
27002,local,Literate,Male,35145,2016
27002,local,Not Read/Write,Female,9622,2016
27002,local,Not Read/Write,Male,3771,2016
27002,local,Not Stated,Female,49,2016
27002,local,Not Stated,Male,17,2016
27002,local,Read Only,Female,793,2016
27002,local,Read Only,Male,640,2016
27005,local,Literate,Female,20547,2016
27005,local,Literate,Male,24979,2016
27005,local,Not Read/Write,Female,6716,2016
27005,local,Not Read/Write,Male,2184,2016
27005,local,Not Stated,Female,10,2016
